school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Montgomery Blair HS,2806,52.2,47.8,≤5.0,16.7,26.2,29.9,≤5.0,23.4,≤5.0,9.9,35.4,6.8,High School,2012-2013,,
James Hubert Blake HS,1755,47.7,52.3,≤5.0,9.3,43.6,20.2,≤5.0,22.6,≤5.0,≤5.0,29.3,8.7,High School,2012-2013,,
Winston Churchill HS,2092,52.0,48.0,≤5.0,22.1,7.9,8.0,≤5.0,57.8,≤5.0,≤5.0,≤5.0,11.2,High School,2012-2013,,
Clarksburg HS,1901,51.4,48.6,≤5.0,16.9,28.2,24.3,≤5.0,26.9,≤5.0,≤5.0,27.9,10.2,High School,2012-2013,,
Damascus HS,1308,50.8,49.2,≤5.0,5.2,9.3,13.1,≤5.0,67.4,≤5.0,≤5.0,12.6,13.2,High School,2012-2013,,
Thomas Edison HS of Technology,516,69.2,30.8,≤5.0,7.2,23.8,46.1,≤5.0,20.9,≤5.0,12.0,46.3,30.4,High School,2012-2013,,
Albert Einstein HS,1581,48.5,51.5,≤5.0,10.1,21.9,43.9,≤5.0,21.3,≤5.0,7.6,41.6,14.4,High School,2012-2013,,
Gaithersburg HS,2035,51.9,48.1,≤5.0,9.9,25.5,39.7,≤5.0,21.0,≤5.0,10.1,41.7,14.8,High School,2012-2013,,
Walter Johnson HS,2244,51.9,48.1,≤5.0,13.6,7.7,17.2,≤5.0,56.2,≤5.0,≤5.0,7.8,11.7,High School,2012-2013,,
John F. Kennedy HS,1594,51.4,48.6,≤5.0,9.2,37.8,45.4,≤5.0,5.5,≤5.0,8.1,52.0,14.4,High School,2012-2013,,
Col. Zadok Magruder HS,1700,51.6,48.4,≤5.0,15.1,19.8,31.1,≤5.0,30.4,≤5.0,≤5.0,32.8,9.7,High School,2012-2013,,
Richard Montgomery HS,2124,48.4,51.6,≤5.0,25.3,15.1,22.6,≤5.0,31.4,5.5,6.3,20.6,7.7,High School,2012-2013,,
Northwest HS,2062,50.3,49.7,≤5.0,18.4,26.7,20.0,≤5.0,29.9,≤5.0,≤5.0,26.2,11.3,High School,2012-2013,,
Northwood HS,1488,50.9,49.1,≤5.0,6.4,27.9,45.7,≤5.0,17.1,≤5.0,9.7,44.8,16.1,High School,2012-2013,,
Paint Branch HS,1922,51.2,48.8,≤5.0,15.6,52.8,15.9,≤5.0,11.6,≤5.0,≤5.0,34.0,9.8,High School,2012-2013,,
Poolesville HS,1235,49.3,50.7,≤5.0,23.4,5.4,7.5,≤5.0,57.8,5.6,≤5.0,6.0,5.9,High School,2012-2013,,
Quince Orchard HS,1832,51.1,48.9,≤5.0,13.1,15.1,22.2,≤5.0,45.6,≤5.0,5.2,21.9,11.2,High School,2012-2013,,
Rockville HS,1269,50.0,50.0,≤5.0,10.6,14.8,32.1,≤5.0,38.6,≤5.0,5.7,30.0,16.3,High School,2012-2013,,
Seneca Valley HS,1306,52.2,47.8,≤5.0,10.5,33.4,27.6,≤5.0,23.9,≤5.0,8.5,34.7,16.1,High School,2012-2013,,
Sherwood HS,2027,50.0,50.0,≤5.0,11.1,16.1,12.7,≤5.0,56.5,≤5.0,8.1,14.6,9.8,High School,2012-2013,,
Springbrook HS,1723,57.1,42.9,≤5.0,12.4,41.3,34.1,≤5.0,9.1,≤5.0,7.0,44.1,11.9,High School,2012-2013,,
Watkins Mill HS,1424,51.2,48.8,≤5.0,10.1,37.8,34.6,≤5.0,14.0,≤5.0,7.7,50.4,13.2,High School,2012-2013,,
Wheaton HS,1226,56.8,43.2,≤5.0,9.5,23.4,56.5,≤5.0,8.0,≤5.0,18.2,57.9,13.2,High School,2012-2013,,
Walt Whitman HS,1909,51.7,48.3,≤5.0,12.3,≤5.0,8.8,≤5.0,70.1,5.1,≤5.0,≤5.0,11.9,High School,2012-2013,,
Thomas S. Wootton HS,2297,50.5,49.5,≤5.0,34.0,5.6,6.7,≤5.0,48.5,≤5.0,≤5.0,5.5,7.5,High School,2012-2013,,
Arcola ES,708,52.0,48.0,≤5.0,8.3,17.5,68.5,≤5.0,≤5.0,≤5.0,44.8,75.6,9.0,Elementary School,2013-2014,,
Ashburton ES,837,51.3,48.7,≤5.0,14.7,13.0,12.8,≤5.0,50.9,8.4,10.6,11.4,14.0,Elementary School,2013-2014,,
Bannockburn ES,398,51.8,48.2,≤5.0,10.8,≤5.0,7.5,≤5.0,68.1,10.8,10.8,≤5.0,5.8,Elementary School,2013-2014,,
Lucy V. Barnsley ES,681,57.1,42.9,≤5.0,15.3,10.4,29.1,≤5.0,39.2,6.0,13.1,28.2,13.5,Elementary School,2013-2014,,
Beall ES,782,54.7,45.3,≤5.0,25.1,13.4,19.1,≤5.0,34.4,7.8,15.6,25.4,8.1,Elementary School,2013-2014,,
Bel Pre ES,471,54.4,45.6,≤5.0,7.0,43.1,38.9,≤5.0,6.6,≤5.0,43.9,70.5,9.3,Elementary School,2013-2014,,
Bells Mill ES,592,51.5,48.5,≤5.0,23.6,12.0,7.4,≤5.0,50.5,6.3,8.8,10.3,8.4,Elementary School,2013-2014,,
Belmont ES,309,51.8,48.2,≤5.0,6.5,6.5,10.7,≤5.0,73.5,≤5.0,≤5.0,6.8,10.0,Elementary School,2013-2014,,
Bethesda ES,493,51.5,48.5,≤5.0,14.2,7.9,11.8,≤5.0,59.8,6.3,12.2,6.3,11.6,Elementary School,2013-2014,,
Beverly Farms ES,593,48.6,51.4,≤5.0,27.3,5.4,9.8,≤5.0,50.6,6.7,5.6,≤5.0,7.8,Elementary School,2013-2014,,
Bradley Hills ES,577,51.6,48.4,≤5.0,10.6,≤5.0,9.4,≤5.0,67.8,10.9,6.8,≤5.0,5.7,Elementary School,2013-2014,,
Broad Acres ES,720,50.7,49.3,≤5.0,5.7,13.5,80.1,≤5.0,≤5.0,≤5.0,66.4,94.3,6.7,Elementary School,2013-2014,,
Brooke Grove ES,388,53.6,46.4,≤5.0,17.3,21.4,12.4,≤5.0,47.2,≤5.0,9.5,25.5,16.2,Elementary School,2013-2014,,
Brookhaven ES,457,56.5,43.5,≤5.0,6.3,32.2,48.1,≤5.0,9.6,≤5.0,38.1,66.7,24.3,Elementary School,2013-2014,,
Brown Station ES,533,50.3,49.7,≤5.0,7.9,33.8,42.2,≤5.0,10.1,5.8,24.2,69.4,14.4,Elementary School,2013-2014,,
Burning Tree ES,502,51.6,48.4,≤5.0,18.3,≤5.0,≤5.0,≤5.0,65.7,7.2,8.2,≤5.0,14.5,Elementary School,2013-2014,,
Burnt Mills ES,496,50.4,49.6,≤5.0,≤5.0,67.7,18.1,≤5.0,8.5,≤5.0,22.6,67.3,6.3,Elementary School,2013-2014,,
Burtonsville ES,649,48.7,51.3,≤5.0,16.2,61.2,12.3,≤5.0,5.5,≤5.0,16.8,52.1,5.1,Elementary School,2013-2014,,
Candlewood ES,338,49.7,50.3,≤5.0,19.8,10.9,19.2,≤5.0,43.5,5.9,16.0,19.5,≤5.0,Elementary School,2013-2014,,
Cannon Road ES,428,55.4,44.6,≤5.0,10.5,36.4,40.7,≤5.0,8.2,≤5.0,15.9,60.5,12.9,Elementary School,2013-2014,,
Carderock Springs ES,424,54.5,45.5,≤5.0,13.4,≤5.0,8.3,≤5.0,71.2,≤5.0,≤5.0,≤5.0,8.5,Elementary School,2013-2014,,
Rachel Carson ES,958,48.6,51.4,≤5.0,13.3,6.2,18.1,≤5.0,55.8,6.6,12.3,18.6,8.8,Elementary School,2013-2014,,
Cashell ES,323,52.3,47.7,≤5.0,11.8,13.9,19.8,≤5.0,47.7,6.5,10.8,20.4,11.5,Elementary School,2013-2014,,
Cedar Grove ES,730,51.6,48.4,≤5.0,39.5,11.6,9.6,≤5.0,33.6,5.3,9.5,13.8,7.4,Elementary School,2013-2014,,
Chevy Chase ES,532,50.2,49.8,≤5.0,≤5.0,10.9,8.8,≤5.0,70.5,5.8,6.0,13.9,7.3,Elementary School,2013-2014,,
Clarksburg ES,279,52.0,48.0,≤5.0,40.1,13.3,15.1,≤5.0,25.4,5.4,14.3,17.9,10.8,Elementary School,2013-2014,,
Clearspring ES,603,50.9,49.1,≤5.0,13.9,12.8,19.9,≤5.0,46.1,7.3,9.1,24.0,12.3,Elementary School,2013-2014,,
Clopper Mill ES,451,51.9,48.1,≤5.0,5.3,39.0,44.3,≤5.0,7.3,≤5.0,25.7,67.8,14.0,Elementary School,2013-2014,,
Cloverly ES,459,54.2,45.8,≤5.0,17.4,19.0,18.5,≤5.0,37.3,7.4,11.1,18.3,18.7,Elementary School,2013-2014,,
Cold Spring ES,344,54.4,45.6,≤5.0,38.4,≤5.0,7.0,≤5.0,43.3,7.3,5.8,≤5.0,≤5.0,Elementary School,2013-2014,,
College Gardens ES,852,49.9,50.1,≤5.0,23.1,16.7,14.4,≤5.0,37.9,7.9,12.4,15.1,6.1,Elementary School,2013-2014,,
Community Montessori Charter,99,49.5,50.5,≤5.0,6.1,30.3,16.2,≤5.0,37.4,9.1,≤5.0,27.3,≤5.0,,2013-2014,,
Cresthaven ES,487,55.4,44.6,≤5.0,10.9,36.6,46.4,≤5.0,≤5.0,≤5.0,24.8,73.1,15.2,Elementary School,2013-2014,,
Capt. James E. Daly ES,600,50.3,49.7,≤5.0,6.3,37.7,41.8,≤5.0,10.3,≤5.0,36.5,71.2,10.8,Elementary School,2013-2014,,
Damascus ES,314,47.5,52.5,≤5.0,≤5.0,6.1,22.3,≤5.0,63.1,≤5.0,12.4,24.5,15.9,Elementary School,2013-2014,,
Darnestown ES,313,56.2,43.8,≤5.0,11.2,≤5.0,6.7,≤5.0,74.4,≤5.0,≤5.0,6.1,6.1,Elementary School,2013-2014,,
Diamond ES,648,51.1,48.9,≤5.0,39.7,9.6,11.1,≤5.0,34.6,≤5.0,17.4,11.7,9.9,Elementary School,2013-2014,,
Dr. Charles R. Drew ES,444,50.7,49.3,≤5.0,16.2,41.9,23.9,≤5.0,11.9,6.1,18.2,48.2,13.5,Elementary School,2013-2014,,
DuFief ES,330,50.6,49.4,≤5.0,31.5,7.3,9.4,≤5.0,45.8,6.1,11.2,10.9,20.6,Elementary School,2013-2014,,
East Silver Spring ES,512,53.5,46.5,≤5.0,≤5.0,53.3,23.0,≤5.0,16.8,≤5.0,34.0,61.5,16.6,Elementary School,2013-2014,,
Fairland ES,621,49.8,50.2,≤5.0,9.3,58.8,20.0,≤5.0,9.2,≤5.0,18.0,57.8,8.1,Elementary School,2013-2014,,
Fallsmead ES,568,51.4,48.6,≤5.0,31.2,8.3,7.7,≤5.0,47.7,≤5.0,10.2,8.5,7.2,Elementary School,2013-2014,,
Farmland ES,652,50.6,49.4,≤5.0,33.9,≤5.0,9.8,≤5.0,47.2,≤5.0,25.6,7.8,8.4,Elementary School,2013-2014,,
Fields Road ES,489,50.1,49.9,≤5.0,18.0,17.0,27.2,≤5.0,32.5,≤5.0,18.6,36.6,8.8,Elementary School,2013-2014,,
Flower Hill ES,497,50.1,49.9,≤5.0,13.9,27.2,44.9,≤5.0,9.1,≤5.0,33.2,64.0,11.9,Elementary School,2013-2014,,
Flower Valley ES,482,52.1,47.9,≤5.0,11.2,12.7,18.5,≤5.0,53.7,≤5.0,8.5,18.7,14.3,Elementary School,2013-2014,,
Forest Knolls ES,708,49.4,50.6,≤5.0,7.2,13.6,43.2,≤5.0,31.2,≤5.0,28.5,43.2,8.5,Elementary School,2013-2014,,
Fox Chapel ES,633,53.2,46.8,≤5.0,19.0,24.3,41.5,≤5.0,10.1,≤5.0,31.6,52.6,5.8,Elementary School,2013-2014,,
Gaithersburg ES,756,53.0,47.0,≤5.0,≤5.0,13.6,73.9,≤5.0,6.1,≤5.0,47.9,83.1,9.9,Elementary School,2013-2014,,
Galway ES,831,53.7,46.3,≤5.0,12.5,57.9,22.3,≤5.0,≤5.0,≤5.0,25.5,58.8,9.1,Elementary School,2013-2014,,
Garrett Park ES,701,53.6,46.4,≤5.0,15.5,10.0,22.3,≤5.0,44.5,7.1,17.8,15.7,6.4,Elementary School,2013-2014,,
Georgian Forest ES,583,54.5,45.5,≤5.0,6.5,34.3,49.1,≤5.0,8.4,≤5.0,30.9,79.6,9.6,Elementary School,2013-2014,,
Germantown ES,290,54.1,45.9,≤5.0,20.3,26.2,29.3,≤5.0,20.0,≤5.0,12.4,31.0,14.8,Elementary School,2013-2014,,
"William B. Gibbs, Jr. ES",745,50.1,49.9,≤5.0,31.9,21.6,16.0,≤5.0,24.2,6.0,15.6,27.7,13.2,Elementary School,2013-2014,,
Glen Haven ES,538,49.6,50.4,≤5.0,8.6,21.4,49.6,≤5.0,15.6,≤5.0,32.0,66.9,13.4,Elementary School,2013-2014,,
Glenallan ES,545,49.4,50.6,≤5.0,12.1,30.6,46.4,≤5.0,7.3,≤5.0,30.6,65.7,11.4,Elementary School,2013-2014,,
Goshen ES,575,51.0,49.0,≤5.0,11.7,25.4,31.3,≤5.0,25.0,6.1,21.2,39.1,12.5,Elementary School,2013-2014,,
Great Seneca Creek ES,744,50.1,49.9,≤5.0,13.4,28.1,25.1,≤5.0,26.9,6.5,13.2,35.6,10.5,Elementary School,2013-2014,,
Greencastle ES,773,52.9,47.1,≤5.0,7.9,67.9,19.9,≤5.0,≤5.0,≤5.0,15.7,64.6,10.6,Elementary School,2013-2014,,
Greenwood ES,529,48.6,51.4,≤5.0,9.3,7.6,9.5,≤5.0,68.6,5.1,6.8,7.8,6.0,Elementary School,2013-2014,,
Harmony Hills ES,729,49.8,50.2,≤5.0,6.7,16.9,72.6,≤5.0,≤5.0,≤5.0,49.5,85.2,8.4,Elementary School,2013-2014,,
Highland ES,544,55.3,44.7,≤5.0,≤5.0,12.9,75.7,≤5.0,≤5.0,≤5.0,53.5,83.5,9.6,Elementary School,2013-2014,,
Highland View ES,390,49.0,51.0,≤5.0,≤5.0,22.8,26.4,≤5.0,41.0,5.9,25.4,39.5,5.4,Elementary School,2013-2014,,
Jackson Road ES,694,53.6,46.4,≤5.0,10.8,51.0,33.1,≤5.0,≤5.0,≤5.0,29.0,74.1,13.4,Elementary School,2013-2014,,
Jones Lane ES,480,54.4,45.6,≤5.0,13.8,10.8,22.9,≤5.0,47.1,5.2,15.2,27.3,15.4,Elementary School,2013-2014,,
Kemp Mill ES,499,48.3,51.7,≤5.0,≤5.0,18.8,70.9,≤5.0,≤5.0,≤5.0,53.5,77.6,8.6,Elementary School,2013-2014,,
Kensington Parkwood ES,673,49.6,50.4,≤5.0,6.7,6.4,8.9,≤5.0,73.1,≤5.0,5.5,6.4,9.2,Elementary School,2013-2014,,
Lake Seneca ES,470,50.2,49.8,≤5.0,9.1,33.8,29.8,≤5.0,20.2,6.8,20.2,49.8,16.8,Elementary School,2013-2014,,
Lakewood ES,553,49.4,50.6,≤5.0,44.7,7.1,7.2,≤5.0,35.6,5.2,10.7,5.1,7.6,Elementary School,2013-2014,,
Laytonsville ES,455,56.9,43.1,≤5.0,9.0,12.3,13.8,≤5.0,58.7,5.9,6.2,13.8,16.0,Elementary School,2013-2014,,
Little Bennett ES,986,50.9,49.1,≤5.0,32.4,17.0,9.5,≤5.0,33.6,7.2,12.2,13.7,6.5,Elementary School,2013-2014,,
Luxmanor ES,433,50.3,49.7,≤5.0,22.6,11.3,18.0,≤5.0,44.3,≤5.0,18.2,13.6,8.8,Elementary School,2013-2014,,
Thurgood Marshall ES,614,53.7,46.3,≤5.0,17.9,15.0,26.9,≤5.0,34.5,≤5.0,13.0,30.1,11.7,Elementary School,2013-2014,,
Maryvale ES,583,46.7,53.3,≤5.0,8.2,29.0,30.7,≤5.0,24.9,6.9,26.9,44.1,7.0,Elementary School,2013-2014,,
Spark M. Matsunaga ES,958,51.6,48.4,≤5.0,38.9,15.9,12.2,≤5.0,27.6,5.4,10.0,15.7,5.4,Elementary School,2013-2014,,
S. Christa McAuliffe ES,675,51.1,48.9,≤5.0,9.8,33.0,32.1,≤5.0,17.5,7.3,20.9,51.6,8.0,Elementary School,2013-2014,,
Ronald McNair ES,813,48.8,51.2,≤5.0,30.1,23.5,16.4,≤5.0,25.5,≤5.0,19.4,24.4,6.0,Elementary School,2013-2014,,
Meadow Hall ES,442,54.5,45.5,≤5.0,10.2,12.7,54.3,≤5.0,17.4,≤5.0,24.2,55.0,16.3,Elementary School,2013-2014,,
Mill Creek Towne ES,401,53.1,46.9,≤5.0,11.5,14.5,42.6,≤5.0,25.2,5.7,31.2,46.4,18.7,Elementary School,2013-2014,,
Monocacy ES,165,53.3,46.7,≤5.0,≤5.0,6.1,5.5,≤5.0,78.8,6.7,≤5.0,13.3,12.7,Elementary School,2013-2014,,
Montgomery Knolls ES,498,51.2,48.8,≤5.0,5.8,24.3,46.8,≤5.0,21.3,≤5.0,44.8,59.2,14.1,Elementary School,2013-2014,,
New Hampshire Estates ES,508,47.8,52.2,≤5.0,≤5.0,13.4,81.5,≤5.0,≤5.0,≤5.0,72.6,93.5,7.7,Elementary School,2013-2014,,
Roscoe R. Nix ES,553,51.7,48.3,≤5.0,12.1,35.8,44.8,≤5.0,5.6,≤5.0,37.4,70.9,8.7,Elementary School,2013-2014,,
North Chevy Chase ES,402,51.2,48.8,≤5.0,6.7,11.2,12.7,≤5.0,61.4,7.5,5.7,10.4,11.9,Elementary School,2013-2014,,
Oak View ES,350,50.9,49.1,≤5.0,9.4,17.7,56.6,≤5.0,15.1,≤5.0,38.3,70.3,12.3,Elementary School,2013-2014,,
Oakland Terrace ES,507,52.7,47.3,≤5.0,7.5,14.2,30.2,≤5.0,40.0,7.7,19.5,33.5,10.8,Elementary School,2013-2014,,
Olney ES,589,52.8,47.2,≤5.0,11.2,14.3,15.1,≤5.0,52.6,6.8,8.1,19.4,6.6,Elementary School,2013-2014,,
William Tyler Page ES,411,48.9,51.1,≤5.0,18.2,52.6,18.5,≤5.0,7.5,≤5.0,21.2,50.9,6.3,Elementary School,2013-2014,,
Pine Crest ES,454,48.7,51.3,≤5.0,10.4,18.3,37.0,≤5.0,30.6,≤5.0,20.5,46.9,6.8,Elementary School,2013-2014,,
Piney Branch ES,523,52.8,47.2,≤5.0,≤5.0,36.9,16.4,≤5.0,36.5,6.3,14.7,35.6,9.2,Elementary School,2013-2014,,
Poolesville ES,396,51.8,48.2,≤5.0,≤5.0,≤5.0,11.9,≤5.0,77.0,≤5.0,≤5.0,12.4,10.4,Elementary School,2013-2014,,
Potomac ES,499,51.9,48.1,≤5.0,33.5,≤5.0,≤5.0,≤5.0,54.9,≤5.0,5.6,≤5.0,6.6,Elementary School,2013-2014,,
Judith A. Resnik ES,614,48.0,52.0,≤5.0,12.5,29.2,39.4,≤5.0,15.1,≤5.0,30.0,56.5,8.3,Elementary School,2013-2014,,
Dr. Sally K. Ride ES,544,54.0,46.0,≤5.0,20.6,32.0,24.6,≤5.0,16.5,6.3,18.9,47.1,18.2,Elementary School,2013-2014,,
Ritchie Park ES,541,50.1,49.9,≤5.0,22.6,10.9,15.7,≤5.0,45.3,≤5.0,12.2,18.3,5.7,Elementary School,2013-2014,,
Rock Creek Forest ES,611,50.6,49.4,≤5.0,5.2,16.2,30.9,≤5.0,41.1,6.4,17.2,23.6,6.4,Elementary School,2013-2014,,
Rock Creek Valley ES,436,51.4,48.6,≤5.0,9.2,8.7,42.9,≤5.0,31.7,6.9,25.7,36.0,22.0,Elementary School,2013-2014,,
Rock View ES,655,47.8,52.2,≤5.0,11.8,15.1,44.3,≤5.0,23.1,5.3,31.1,48.5,11.6,Elementary School,2013-2014,,
Lois P. Rockwell ES,440,51.8,48.2,≤5.0,9.8,10.5,20.0,≤5.0,53.2,6.1,13.4,23.6,15.9,Elementary School,2013-2014,,
Rolling Terrace ES,872,50.7,49.3,≤5.0,≤5.0,14.9,62.7,≤5.0,15.0,≤5.0,48.7,68.1,≤5.0,Elementary School,2013-2014,,
Rosemary Hills ES,643,50.5,49.5,≤5.0,5.8,16.2,16.2,≤5.0,54.3,7.5,17.6,23.6,7.6,Elementary School,2013-2014,,
Rosemont ES,542,53.1,46.9,≤5.0,10.9,25.5,43.4,≤5.0,14.2,5.5,36.7,56.5,13.3,Elementary School,2013-2014,,
Sequoyah ES,446,51.1,48.9,≤5.0,10.1,17.3,44.8,≤5.0,23.3,≤5.0,33.0,53.4,14.6,Elementary School,2013-2014,,
Seven Locks ES,400,54.0,46.0,≤5.0,16.8,7.3,10.0,≤5.0,55.5,10.0,10.5,≤5.0,6.0,Elementary School,2013-2014,,
Sherwood ES,520,53.7,46.3,≤5.0,11.0,17.9,12.3,≤5.0,53.3,5.6,7.5,15.2,10.6,Elementary School,2013-2014,,
Sargent Shriver ES,770,47.8,52.2,≤5.0,8.2,13.9,72.7,≤5.0,≤5.0,≤5.0,52.6,82.3,7.5,Elementary School,2013-2014,,
Flora M. Singer ES,629,52.6,47.4,≤5.0,7.8,15.6,35.5,≤5.0,35.3,5.4,28.6,40.2,14.5,Elementary School,2013-2014,,
Sligo Creek ES,597,50.8,49.2,≤5.0,5.5,19.3,10.6,≤5.0,54.8,9.5,6.7,13.2,9.0,Elementary School,2013-2014,,
Somerset ES,531,50.5,49.5,≤5.0,8.9,≤5.0,12.6,≤5.0,67.0,6.0,13.9,≤5.0,6.4,Elementary School,2013-2014,,
South Lake ES,797,53.3,46.7,≤5.0,8.0,30.9,55.5,≤5.0,≤5.0,≤5.0,48.1,80.1,7.2,Elementary School,2013-2014,,
Stedwick ES,605,51.2,48.8,≤5.0,6.8,37.5,35.4,≤5.0,15.0,≤5.0,30.6,59.7,11.4,Elementary School,2013-2014,,
Stone Mill ES,632,50.5,49.5,≤5.0,47.2,14.4,5.4,≤5.0,28.6,≤5.0,13.9,12.7,13.0,Elementary School,2013-2014,,
Stonegate ES,474,55.1,44.9,≤5.0,15.0,32.3,17.1,≤5.0,29.1,6.3,7.0,23.0,12.7,Elementary School,2013-2014,,
Strathmore ES,442,50.2,49.8,≤5.0,6.8,45.7,36.9,≤5.0,7.0,≤5.0,19.7,60.6,12.7,Elementary School,2013-2014,,
Strawberry Knoll ES,597,50.6,49.4,≤5.0,12.4,28.8,37.0,≤5.0,17.1,≤5.0,20.8,51.1,15.2,Elementary School,2013-2014,,
Summit Hall ES,602,51.3,48.7,≤5.0,5.3,22.1,67.1,≤5.0,≤5.0,≤5.0,51.7,78.6,9.5,Elementary School,2013-2014,,
Takoma Park ES,651,48.8,51.2,≤5.0,≤5.0,34.6,19.0,≤5.0,35.5,5.8,28.6,37.0,≤5.0,Elementary School,2013-2014,,
Travilah ES,413,50.8,49.2,≤5.0,40.2,5.8,≤5.0,≤5.0,43.3,6.8,11.4,5.3,8.5,Elementary School,2013-2014,,
Twinbrook ES,559,55.3,44.7,≤5.0,16.5,11.8,57.4,≤5.0,10.2,≤5.0,46.7,65.5,10.4,Elementary School,2013-2014,,
Viers Mill ES,649,51.8,48.2,≤5.0,9.1,11.7,61.3,≤5.0,15.4,≤5.0,43.8,70.1,16.9,Elementary School,2013-2014,,
Washington Grove ES,389,58.6,41.4,≤5.0,9.5,15.7,61.4,≤5.0,9.5,≤5.0,53.0,73.5,19.0,Elementary School,2013-2014,,
Waters Landing ES,687,52.3,47.7,≤5.0,8.2,34.4,30.9,≤5.0,19.4,6.6,23.3,48.3,10.5,Elementary School,2013-2014,,
Watkins Mill ES,636,50.8,49.2,≤5.0,10.8,35.2,43.1,≤5.0,6.4,≤5.0,37.4,68.9,11.2,Elementary School,2013-2014,,
Wayside ES,523,47.6,52.4,≤5.0,34.2,5.9,6.3,≤5.0,47.6,5.7,9.0,≤5.0,7.8,Elementary School,2013-2014,,
Weller Road ES,645,53.3,46.7,≤5.0,9.5,11.2,72.7,≤5.0,≤5.0,≤5.0,51.5,77.5,8.8,Elementary School,2013-2014,,
Westbrook ES,430,51.2,48.8,≤5.0,≤5.0,≤5.0,8.4,≤5.0,78.6,8.1,≤5.0,≤5.0,9.1,Elementary School,2013-2014,,
Westover ES,325,56.6,43.4,≤5.0,16.0,30.5,20.6,≤5.0,27.1,5.2,8.0,24.9,23.7,Elementary School,2013-2014,,
Wheaton Woods ES,501,53.1,46.9,≤5.0,7.8,27.5,57.3,≤5.0,5.4,≤5.0,51.7,84.8,6.0,Elementary School,2013-2014,,
Whetstone ES,712,54.6,45.4,≤5.0,8.4,26.3,49.0,≤5.0,12.6,≤5.0,33.6,61.9,16.6,Elementary School,2013-2014,,
Wood Acres ES,789,53.5,46.5,≤5.0,10.0,≤5.0,8.4,≤5.0,72.5,5.8,5.6,≤5.0,7.1,Elementary School,2013-2014,,
Woodfield ES,328,51.2,48.8,≤5.0,5.2,10.1,20.1,≤5.0,58.2,6.1,7.6,21.0,15.2,Elementary School,2013-2014,,
Woodlin ES,608,51.8,48.2,≤5.0,6.6,25.0,16.3,≤5.0,43.9,7.9,12.7,20.4,13.3,Elementary School,2013-2014,,
Wyngate ES,767,50.5,49.5,≤5.0,8.1,≤5.0,9.1,≤5.0,72.0,7.8,7.8,≤5.0,6.1,Elementary School,2013-2014,,
Argyle MS,830,55.1,44.9,≤5.0,10.1,36.9,43.3,≤5.0,7.7,≤5.0,13.7,61.7,9.0,Middle School,2013-2014,,
John T. Baker MS,813,49.3,50.7,≤5.0,5.4,7.7,17.2,≤5.0,64.2,≤5.0,≤5.0,18.8,13.4,Middle School,2013-2014,,
Benjamin Banneker MS,831,50.3,49.7,≤5.0,10.3,61.4,15.8,≤5.0,7.1,5.3,≤5.0,48.1,10.8,Middle School,2013-2014,,
Briggs Chaney MS,873,48.3,51.7,≤5.0,14.2,54.2,17.9,≤5.0,9.2,≤5.0,7.7,48.2,9.7,Middle School,2013-2014,,
Cabin John MS,950,52.2,47.8,≤5.0,28.2,9.8,9.4,≤5.0,49.1,≤5.0,≤5.0,7.3,14.4,Middle School,2013-2014,,
Roberto W. Clemente MS,1147,48.8,51.2,≤5.0,27.1,25.6,24.0,≤5.0,17.8,5.3,5.2,33.1,11.2,Middle School,2013-2014,,
Eastern MS,870,42.3,57.7,≤5.0,15.9,19.9,38.0,≤5.0,20.9,5.3,13.9,47.8,8.2,Middle School,2013-2014,,
William H. Farquhar MS,577,46.6,53.4,≤5.0,14.6,16.1,12.7,≤5.0,50.3,6.4,≤5.0,12.3,12.8,Middle School,2013-2014,,
Forest Oak MS,815,49.8,50.2,≤5.0,8.8,27.5,44.3,≤5.0,14.4,≤5.0,14.7,56.6,12.8,Middle School,2013-2014,,
Robert Frost MS,1155,51.4,48.6,≤5.0,35.2,5.2,5.8,≤5.0,48.7,≤5.0,≤5.0,5.8,5.9,Middle School,2013-2014,,
Gaithersburg MS,681,53.0,47.0,≤5.0,9.0,23.2,38.2,≤5.0,24.4,5.1,12.0,42.6,18.9,Middle School,2013-2014,,
Herbert Hoover MS,1041,52.6,47.4,≤5.0,27.4,6.1,6.5,≤5.0,53.9,6.0,≤5.0,≤5.0,9.8,Middle School,2013-2014,,
Francis Scott Key MS,903,49.4,50.6,≤5.0,12.1,43.5,37.4,≤5.0,≤5.0,≤5.0,13.6,65.3,9.6,Middle School,2013-2014,,
"Dr. Martin Luther King, Jr.  MS",609,47.8,52.2,≤5.0,12.6,32.2,27.6,≤5.0,21.3,5.9,9.0,44.7,10.5,Middle School,2013-2014,,
Kingsview MS,987,51.1,48.9,≤5.0,26.7,21.0,12.7,≤5.0,33.8,5.7,≤5.0,19.7,7.3,Middle School,2013-2014,,
Lakelands Park MS,1003,50.0,50.0,≤5.0,11.7,13.6,19.5,≤5.0,50.8,≤5.0,6.2,22.5,15.0,Middle School,2013-2014,,
Col. E. Brooke Lee MS,659,54.9,45.1,≤5.0,8.8,28.2,52.4,≤5.0,7.4,≤5.0,21.5,61.6,14.0,Middle School,2013-2014,,
